timestamp,value,date,hour,weekday
2024-12-22 07:00:00+00:00,42.59,2024-12-22,7,6
2024-12-22 08:00:00+00:00,42.72,2024-12-22,8,6
2024-12-22 09:00:00+00:00,42.99,2024-12-22,9,6
2024-12-22 10:00:00+00:00,42.87,2024-12-22,10,6
2024-12-22 11:00:00+00:00,42.67,2024-12-22,11,6
2024-12-22 12:00:00+00:00,42.55,2024-12-22,12,6
2024-12-22 13:00:00+00:00,42.54,2024-12-22,13,6
2024-12-22 14:00:00+00:00,42.6,2024-12-22,14,6
2024-12-22 15:00:00+00:00,42.56,2024-12-22,15,6
2024-12-22 16:00:00+00:00,42.66,2024-12-22,16,6
2024-12-22 17:00:00+00:00,42.69,2024-12-22,17,6
2024-12-22 18:00:00+00:00,41.84,2024-12-22,18,6
2024-12-22 19:00:00+00:00,42.1,2024-12-22,19,6
2024-12-22 20:00:00+00:00,41.9,2024-12-22,20,6
2024-12-22 21:00:00+00:00,41.6,2024-12-22,21,6
2024-12-22 22:00:00+00:00,41.96,2024-12-22,22,6
2024-12-22 23:00:00+00:00,42.22,2024-12-22,23,6
2024-12-23 00:00:00+00:00,42.46,2024-12-23,0,0
2024-12-23 01:00:00+00:00,42.8,2024-12-23,1,0
2024-12-23 02:00:00+00:00,41.08,2024-12-23,2,0
2024-12-23 03:00:00+00:00,38.75,2024-12-23,3,0
2024-12-23 04:00:00+00:00,38.56,2024-12-23,4,0
2024-12-23 05:00:00+00:00,38.03,2024-12-23,5,0
2024-12-23 06:00:00+00:00,37.46,2024-12-23,6,0
2024-12-23 07:00:00+00:00,37.34,2024-12-23,7,0
2024-12-23 08:00:00+00:00,37.4,2024-12-23,8,0
2024-12-23 09:00:00+00:00,37.07,2024-12-23,9,0
2024-12-23 10:00:00+00:00,37.01,2024-12-23,10,0
2024-12-23 11:00:00+00:00,36.28,2024-12-23,11,0
2024-12-23 12:00:00+00:00,35.67,2024-12-23,12,0
2024-12-23 13:00:00+00:00,35.34,2024-12-23,13,0
2024-12-23 14:00:00+00:00,35.0,2024-12-23,14,0
2024-12-23 15:00:00+00:00,34.46,2024-12-23,15,0
2024-12-23 16:00:00+00:00,34.0,2024-12-23,16,0
2024-12-23 17:00:00+00:00,33.47,2024-12-23,17,0
2024-12-23 18:00:00+00:00,33.45,2024-12-23,18,0
2024-12-23 19:00:00+00:00,33.83,2024-12-23,19,0
2024-12-23 20:00:00+00:00,34.48,2024-12-23,20,0
2024-12-23 21:00:00+00:00,34.88,2024-12-23,21,0
2024-12-23 22:00:00+00:00,35.08,2024-12-23,22,0
2024-12-23 23:00:00+00:00,35.41,2024-12-23,23,0
2024-12-24 00:00:00+00:00,35.91,2024-12-24,0,1
2024-12-24 01:00:00+00:00,36.3,2024-12-24,1,1
2024-12-24 02:00:00+00:00,36.71,2024-12-24,2,1
2024-12-24 03:00:00+00:00,37.25,2024-12-24,3,1
2024-12-24 04:00:00+00:00,37.66,2024-12-24,4,1
2024-12-24 05:00:00+00:00,37.93,2024-12-24,5,1
2024-12-24 06:00:00+00:00,38.09,2024-12-24,6,1
2024-12-24 07:00:00+00:00,38.31,2024-12-24,7,1
2024-12-24 08:00:00+00:00,38.72,2024-12-24,8,1
2024-12-24 09:00:00+00:00,39.04,2024-12-24,9,1
2024-12-24 10:00:00+00:00,39.45,2024-12-24,10,1
2024-12-24 11:00:00+00:00,39.72,2024-12-24,11,1
2024-12-24 12:00:00+00:00,39.73,2024-12-24,12,1
2024-12-24 13:00:00+00:00,39.79,2024-12-24,13,1
2024-12-24 14:00:00+00:00,39.85,2024-12-24,14,1
2024-12-24 15:00:00+00:00,39.95,2024-12-24,15,1
2024-12-24 16:00:00+00:00,40.23,2024-12-24,16,1
2024-12-24 17:00:00+00:00,40.45,2024-12-24,17,1
2024-12-24 18:00:00+00:00,40.6,2024-12-24,18,1
2024-12-24 19:00:00+00:00,41.14,2024-12-24,19,1
2024-12-24 20:00:00+00:00,41.65,2024-12-24,20,1
2024-12-24 21:00:00+00:00,42.37,2024-12-24,21,1
2024-12-24 22:00:00+00:00,42.95,2024-12-24,22,1
2024-12-24 23:00:00+00:00,43.37,2024-12-24,23,1
